fact,val,val
CashAndCashEquivalentsAtCarryingValue,9366000000.0,9519000000.0
OtherShortTermInvestments,2997000000.0,1043000000.0
CashCashEquivalentsAndShortTermInvestments,12363000000.0,10562000000.0
MarketableSecurities,1300000000.0,1069000000.0
AccountsReceivableNetCurrent,3410000000.0,3487000000.0
InventoryNet,4424000000.0,4233000000.0
PrepaidExpenseAndOtherAssetsCurrent,5235000000.0,3240000000.0
AssetsCurrent,26732000000.0,22591000000.0
EquityMethodInvestments,19671000000.0,18264000000.0
OtherInvestments,118000000.0,501000000.0
OtherAssetsNoncurrent,7162000000.0,6189000000.0
DeferredIncomeTaxAssetsNet,1561000000.0,1746000000.0
PropertyPlantAndEquipmentNet,9236000000.0,9841000000.0
IndefiniteLivedTrademarks,14349000000.0,14214000000.0
Goodwill,18358000000.0,18782000000.0
OtherIntangibleAssetsNet,516000000.0,635000000.0
Assets,97703000000.0,92763000000.0
AccountsPayableAndAccruedLiabilitiesCurrent,15485000000.0,15749000000.0
NotesAndLoansPayable,4557000000.0,2373000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,1960000000.0,399000000.0
AccruedIncomeTaxesCurrent,1569000000.0,1203000000.0
LiabilitiesCurrent,23571000000.0,19724000000.0
LongTermDebtNoncurrent,35547000000.0,36377000000.0
OtherLiabilitiesNoncurrent,8466000000.0,7922000000.0
DeferredIncomeTaxLiabilitiesNet,2639000000.0,2914000000.0
CommonStockValue,1760000000.0,1760000000.0
AdditionalPaidInCapitalCommonStock,19209000000.0,18822000000.0
RetainedEarningsAccumulatedDeficit,73782000000.0,71019000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-14275000000.0,-14895000000.0
TreasuryStockValue,54535000000.0,52601000000.0
StockholdersEquity,25941000000.0,24105000000.0
MinorityInterest,1539000000.0,1721000000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,27480000000.0,25826000000.0
LiabilitiesAndStockholdersEquity,97703000000.0,92763000000.0
